datetime,iter,ii,model_val,cal_val,physical_val
17/09/25 10:51:32,0,0,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:32,0,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:32,0,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:32,0,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:32,0,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:32,0,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:32,0,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:32,0,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:32,1,0,50,(np.float64(38.19660112501051), np.float64(1.05)),90.69660112501052
17/09/25 10:51:32,1,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:32,1,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:32,1,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:32,1,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:32,1,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:32,1,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:32,1,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:33,2,0,50,(np.float64(61.803398874989476), np.float64(1.05)),114.30339887498948
17/09/25 10:51:33,2,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:33,2,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:33,2,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:33,2,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:33,2,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:33,2,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:33,2,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:34,3,0,50,(np.float64(76.39320225002102), np.float64(1.05)),128.89320225002103
17/09/25 10:51:34,3,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:34,3,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:34,3,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:34,3,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:34,3,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:34,3,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:34,3,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:34,4,0,50,(np.float64(69.09830056250526), np.float64(1.05)),121.59830056250526
17/09/25 10:51:34,4,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:34,4,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:34,4,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:34,4,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:34,4,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:34,4,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:34,4,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:35,5,0,50,(np.float64(66.31189606246319), np.float64(1.05)),118.81189606246319
17/09/25 10:51:35,5,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:35,5,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:35,5,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:35,5,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:35,5,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:35,5,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:35,5,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:35,6,0,50,(np.float64(64.58980337503154), np.float64(1.05)),117.08980337503154
17/09/25 10:51:35,6,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:35,6,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:35,6,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:35,6,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:35,6,5,10,(np.float64(0.01), np.float64(1.05)),10.51
